samplingName,nbSamples,descriptorName,J,Q,pertinenceFunction,birdSearchMode,birdConfidenceLimit,averagePertinence,diversity,nbBirds,nbWithBirds,criterion
Random,10,scalogramStat4,12,3,inverse,single,0.1,7.000140444612907,0.0064680359732706,9,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,22.549303264457603,0.0055685263248456,6,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,5.469320697204202,0.0046240821776358,6,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,20.679586895189587,0.0084867345241831,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,25.59953745036881,0.0090984210254813,7,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,17.949660751985345,0.0100965789038504,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,8.498664993671404,0.0086791122865022,6,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,17.909713846132043,0.0116164203780974,8,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,51.1207194303981,0.01068668707189,7,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,16.163520736299873,0.0039193997687159,8,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,37.96107441404472,0.0062433584853371,6,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,21.942553956908647,0.0077544207480515,9,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,13.00536105930566,0.0071559887903478,10,10,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,40.71000587122759,0.0068202814563691,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,25.797050879553147,0.0117571953827597,6,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,18.55216978957509,0.0097362687058935,6,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,51.06876125438011,0.008113799034016,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,18.367287382574503,0.005366339839628,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,22.41278444632453,0.0051085903668483,8,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,21.002354903300443,0.0064006230915333,6,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,29.90810667251795,0.0050795758440142,6,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,13.553243353072125,0.0077005625150536,8,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,39.07901266054982,0.0108060771884872,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,11.06859115915639,0.0073595381209211,8,10,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,18.323223039119007,0.0059292543709295,7,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,44.517349197148725,0.0075150560873373,9,10,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,25.51840986349965,0.0112838890478108,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,28.522131279332434,0.0105052519000163,6,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,15.05295987339266,0.0062820844184846,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,23.823471859674186,0.0066317937300069,9,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,20.028556222897635,0.0054287081201085,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,40.74433366546512,0.0065156159851114,5,5,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,30.8538159876841,0.0086461695839802,7,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,27.26757618308674,0.0067764526923184,6,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,6.551095891712498,0.0049891272006014,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,40.8259395176804,0.0066117747506203,8,9,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,15.307303213301154,0.0107924621451253,7,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,102.37196768834109,0.0111996735404248,5,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,21.611771056027496,0.0048833337467566,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,51.91212918408989,0.0075687699685803,6,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,17.275235309961673,0.004837740989888,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,16.12874861817017,0.0039206258058428,6,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,15.036484240519254,0.0093139981552579,8,8,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,16.27825710825983,0.0063303589611426,6,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,17.985284883054174,0.0043504656967622,5,6,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,11.248663822568064,0.0077293130882003,6,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,16.733760223687064,0.0118028457676378,6,7,0.0
Random,10,scalogramStat4,12,3,inverse,single,0.1,8.489598133332079,0.0069766343127105,5,5,0.0
